"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"63762929","2025-01-14T23:45:11.000","2025-01-14T23:50:21.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10001","330 WEST   30 STREET","WEST   30 STREET","8 AVENUE","9 AVENUE","8 AVENUE","9 AVENUE","ADDRESS","NEW YORK","WEST   30 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2025-01-14T23:50:26.000","04 MANHATTAN","1007530056","MANHATTAN","985267","212563","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.75011282688794","-73.99632947923503","
,  
(40.75011282688794, -73.99632947923503)"
"63760400","2025-01-14T23:45:10.000","2025-01-15T00:30:21.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11212","61 THATFORD AVENUE","THATFORD AVENUE","DEAD END","PITKIN AVENUE","DEAD END","PITKIN AVENUE","ADDRESS","BROOKLYN","THATFORD AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2025-01-15T00:30:30.000","16 BROOKLYN","3034890001","BROOKLYN","1009254","183432","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.67011989965179","-73.90986465607668","
,  
(40.67011989965179, -73.90986465607668)"
"63770386","2025-01-14T23:44:48.000","2025-01-15T00:03:26.000","NYPD","New York City Police Department","Traffic","Chronic Speeding","Street/Sidewalk","11366","78-15 PARSONS BOULEVARD","PARSONS BOULEVARD","78 AVENUE","78 ROAD","78 AVENUE","78 ROAD","ADDRESS","FRESH MEADOWS","PARSONS BOULEVARD",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2025-01-15T00:03:32.000","08 QUEENS","4068290001","QUEENS","1037000","202363","ONLINE","Unspecified","QUEENS",,,,,,,,"40.72195913199264","-73.80969682426189","
,  
(40.72195913199264, -73.80969682426189)"
"63764062","2025-01-14T23:44:37.000",,"NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11217","677 ATLANTIC AVENUE","ATLANTIC AVENUE","6 AVENUE","SOUTH OXFORD STREET","6 AVENUE","SOUTH OXFORD STREET","ADDRESS","BROOKLYN","ATLANTIC AVENUE",,"In Progress",,,"2025-01-15T01:42:49.000","02 BROOKLYN","3020047501","BROOKLYN","991644","188103","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.682972961834885","-73.97334070223415","
,  
(40.682972961834885, -73.97334070223415)"
"63765548","2025-01-14T23:44:36.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11106","31-14 34 STREET","34 STREET","31 AVENUE","BROADWAY","31 AVENUE","BROADWAY","ADDRESS","ASTORIA","34 STREET",,"In Progress",,,"2025-01-15T02:09:07.000","01 QUEENS","4006230047","QUEENS","1005977","217128","ONLINE","Unspecified","QUEENS",,,,,,,,"40.762615949551424","-73.92156894200214","
,  
(40.762615949551424, -73.92156894200214)"
"63769609","2025-01-14T23:44:19.000",,"DSNY","Department of Sanitation","Dirty Condition","Trash","Sidewalk","11220","312 64 STREET","64 STREET","3 AVENUE","GOWANUS EXPWY WB EN    3 AVE","3 AVENUE","GOWANUS EXPWY WB EN    3 AVE","ADDRESS","BROOKLYN","64 STREET",,"In Progress",,,,"10 BROOKLYN","3058170010","BROOKLYN","978046","172279","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.63954048998697","-74.02235415609675","
,  
(40.63954048998697, -74.02235415609675)"
"63762299","2025-01-14T23:44:11.000","2025-01-15T00:21:23.000","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11217","18 6 AVENUE","6 AVENUE","ATLANTIC AVENUE","PACIFIC STREET","ATLANTIC AVENUE","PACIFIC STREET","ADDRESS","BROOKLYN","6 AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","2025-01-15T00:21:27.000","02 BROOKLYN","3011187502","BROOKLYN","991493","187934","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.682509220188656","-73.97388531907048","
,  
(40.682509220188656, -73.97388531907048)"
"63770338","2025-01-14T23:44:00.000","2025-01-15T00:30:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,"10028",,,,,"LEXINGTON AVENUE","EAST 85 STREET","INTERSECTION","MANHATTAN",,"N/A","Closed",,"Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.","2025-01-15T00:30:00.000","08 MANHATTAN",,"MANHATTAN","996413","223023","UNKNOWN","Unspecified","MANHATTAN",,,,,,,,"40.778814516637816","-73.95608280319802","
,  
(40.778814516637816, -73.95608280319802)"
"63768832","2025-01-14T23:43:54.000",,"DOHMH","Department of Health and Mental Hygiene","Construction Lead Dust","In Common Areas","3+ Family Apartment Building","10468","62 EAST  190 STREET","EAST  190 STREET","MORRIS AVENUE","CRESTON AVENUE","MORRIS AVENUE","CRESTON AVENUE","ADDRESS","BRONX","EAST  190 STREET",,"In Progress",,,,"07 BRONX","2031740024","BRONX","1012332","253712","ONLINE","Unspecified","BRONX",,,,,,,,"40.863010851798755","-73.89847534862979","
,  
(40.863010851798755, -73.89847534862979)"
"63764674","2025-01-14T23:43:50.000",,"NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11435","87-45 144 STREET","144 STREET","87 ROAD","HILLSIDE AVENUE","87 ROAD","HILLSIDE AVENUE","ADDRESS","JAMAICA","144 STREET",,"In Progress",,,,"08 QUEENS","4097020009","QUEENS","1036380","196466","MOBILE","Unspecified","QUEENS",,,,,,,,"40.705776986863235","-73.81197921963032","
,  
(40.705776986863235, -73.81197921963032)"
"63768346","2025-01-14T23:43:40.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","10040","707 WEST  192 STREET","WEST  192 STREET","BROADWAY","BENNETT AVENUE","BROADWAY","BENNETT AVENUE","ADDRESS","NEW YORK","WEST  192 STREET",,"In Progress",,,,"12 MANHATTAN","1021800633","MANHATTAN","1003000","251841","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85790027476481","-73.93221847792746","
,  
(40.85790027476481, -73.93221847792746)"
"63762792","2025-01-14T23:43:33.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11365","70-10 PARSONS BOULEVARD","PARSONS BOULEVARD","JEWEL AVENUE","71 AVENUE","JEWEL AVENUE","71 AVENUE","ADDRESS","FRESH MEADOWS","PARSONS BOULEVARD",,"In Progress",,,,"08 QUEENS","4067920001","QUEENS","1036681","205932","MOBILE","Unspecified","QUEENS",,,,,,,,"40.73175704175903","-73.81081985180367","
,  
(40.73175704175903, -73.81081985180367)"
"63766228","2025-01-14T23:43:09.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","11212","22 EAST   96 STREET","EAST   96 STREET",,,,,"ADDRESS","BROOKLYN",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","17 BROOKLYN","3045980024","BROOKLYN","1004835","181555","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.66497933222933","-73.9258001536889","
,  
(40.66497933222933, -73.9258001536889)"
"63770577","2025-01-14T23:43:09.000",,"HPD","Department of Housing Preservation and Development","UNSANITARY CONDITION","GARBAGE/RECYCLING STORAGE","RESIDENTIAL BUILDING","11212","22 EAST   96 STREET","EAST   96 STREET",,,,,"ADDRESS","BROOKLYN",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","17 BROOKLYN","3045980024","BROOKLYN","1004835","181555","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.66497933222933","-73.9258001536889","
,  
(40.66497933222933, -73.9258001536889)"
"63761373","2025-01-14T23:43:04.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11418","102-31 85 AVENUE","85 AVENUE","102 STREET","104 STREET","102 STREET","104 STREET","ADDRESS","RICHMOND HILL","85 AVENUE",,"In Progress",,,"2025-01-15T02:05:53.000","09 QUEENS","4091820040","QUEENS","1026849","193706","ONLINE","Unspecified","QUEENS",,,,,,,,"40.698252463515885","-73.84637269898394","
,  
(40.698252463515885, -73.84637269898394)"
"63763614","2025-01-14T23:42:57.000","2025-01-15T00:03:53.000","NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11366","78-15 PARSONS BOULEVARD","PARSONS BOULEVARD","78 AVENUE","78 ROAD","78 AVENUE","78 ROAD","ADDRESS","FRESH MEADOWS","PARSONS BOULEVARD",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2025-01-15T00:03:56.000","08 QUEENS","4068290001","QUEENS","1037000","202363","ONLINE","Unspecified","QUEENS",,,,,,,,"40.72195913199264","-73.80969682426189","
,  
(40.72195913199264, -73.80969682426189)"
"63770236","2025-01-14T23:42:50.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","10451","333 EAST  148 STREET","EAST  148 STREET",,,,,"ADDRESS","BRONX",,,"Open",,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a","2025-01-14T00:00:00.000","01 BRONX","2023300053","BRONX","1006227","236601","MOBILE","Unspecified","BRONX",,,,,,,,"40.816063465070464","-73.92060276758104","
,  
(40.816063465070464, -73.92060276758104)"
"63763543","2025-01-14T23:42:46.000","2025-01-15T00:39:45.000","NYPD","New York City Police Department","Noise - Residential","Loud Television","Residential Building/House","11374","66-01 BURNS STREET","BURNS STREET","DEAD END","THORNTON PLACE","DEAD END","THORNTON PLACE","ADDRESS","REGO PARK","BURNS STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2025-01-15T00:39:47.000","06 QUEENS","4031550001","QUEENS","1023553","203004","ONLINE","Unspecified","QUEENS",,,,,,,,"40.723788482937245","-73.85820495907939","
,  
(40.723788482937245, -73.85820495907939)"
"63760783","2025-01-14T23:42:43.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","11206","736 WILLOUGHBY AVENUE","WILLOUGHBY AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","03 BROOKLYN","3015910017","BROOKLYN","1001061","192486","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.694990410785586","-73.93937648580602","
,  
(40.694990410785586, -73.93937648580602)"
"63761219","2025-01-14T23:42:32.000",,"HPD","Department of Housing Preservation and Development","SAFETY","CARBON MONOXIDE DETECTOR","RESIDENTIAL BUILDING","11412","114-33 194 STREET","194 STREET",,,,,"ADDRESS","SAINT ALBANS",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","12 QUEENS","4110110005","QUEENS","1050786","193496","ONLINE","Unspecified","QUEENS",,,,,,,,"40.69752846431072","-73.76004970442298","
,  
(40.69752846431072, -73.76004970442298)"
"63762843","2025-01-14T23:42:31.000","2025-01-15T00:30:03.000","NYPD","New York City Police Department","Animal-Abuse","Tortured","Residential Building/House","10035","69 EAST  119 STREET","EAST  119 STREET","MADISON AVENUE","PARK AVENUE","MADISON AVENUE","PARK AVENUE","ADDRESS","NEW YORK","EAST  119 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2025-01-15T00:30:07.000","11 MANHATTAN","1017460028","MANHATTAN","1000094","231344","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.80164758776223","-73.94277211488107","
,  
(40.80164758776223, -73.94277211488107)"
"63764211","2025-01-14T23:41:42.000",,"NYPD","New York City Police Department","Illegal Parking","Commercial Overnight Parking","Street/Sidewalk","11230","4921 BAY PARKWAY","BAY PARKWAY","EAST    3 STREET","EAST    2 STREET","EAST    3 STREET","EAST    2 STREET","ADDRESS","BROOKLYN","BAY PARKWAY",,"In Progress",,,"2025-01-15T02:32:43.000","12 BROOKLYN","3065250029","BROOKLYN","991516","166076","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.622513759367294","-73.97382594061486","
,  
(40.622513759367294, -73.97382594061486)"
"63761369","2025-01-14T23:41:41.000",,"NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11432","82-68 164 STREET","164 STREET","82 ROAD","GRAND CENTRAL PARKWAY","82 ROAD","GRAND CENTRAL PARKWAY","ADDRESS","JAMAICA","164 STREET",,"In Progress",,,,"08 QUEENS","4068580001","QUEENS","1038740","200651","ONLINE","Unspecified","QUEENS",,,,,,,,"40.71724956934783","-73.80343340538089","
,  
(40.71724956934783, -73.80343340538089)"
"63763958","2025-01-14T23:41:00.000",,"DEP","Department of Environmental Protection","Noise","Noise: Construction Before/After Hours (NM1)",,"10017","240 EAST   45 STREET","EAST   45 STREET","3 AVE","2 AVE",,,"ADDRESS","NEW YORK",,"N/A","Open",,,,"06 MANHATTAN","1013180031","MANHATTAN","991987","213351","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.752272361255265","-73.97207498498678","
,  
(40.752272361255265, -73.97207498498678)"
"63768852","2025-01-14T23:41:00.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11226","314 EAST   28 STREET","EAST   28 STREET","CLARENDON ROAD","AVENUE D","CLARENDON ROAD","AVENUE D","ADDRESS","BROOKLYN","EAST   28 STREET",,"In Progress",,,"2025-01-15T02:14:18.000","17 BROOKLYN","3051930012","BROOKLYN","997955","173379","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.642551323408824","-73.95061612731571","
,  
(40.642551323408824, -73.95061612731571)"
"63766889","2025-01-14T23:40:51.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","11237","44 WILSON AVENUE","WILSON AVENUE","GEORGE STREET","MELROSE STREET","GEORGE STREET","MELROSE STREET","ADDRESS","BROOKLYN","WILSON AVENUE",,"In Progress",,,"2025-01-15T01:36:23.000","04 BROOKLYN","3031570031","BROOKLYN","1003829","195325","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.70277711007218","-73.92938632693719","
,  
(40.70277711007218, -73.92938632693719)"
"63769677","2025-01-14T23:40:49.000","2025-01-14T23:53:43.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10451","315 EAST  143 STREET","EAST  143 STREET","MORRIS AVENUE","ALEXANDER AVENUE","MORRIS AVENUE","ALEXANDER AVENUE","ADDRESS","BRONX","EAST  143 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2025-01-14T23:53:46.000","01 BRONX","2023240001","BRONX","1005363","235994","ONLINE","Unspecified","BRONX",,,,,,,,"40.81439952772716","-73.9237260845802","
,  
(40.81439952772716, -73.9237260845802)"
"63761539","2025-01-14T23:40:48.000",,"NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11355","140-11 ASH AVENUE","ASH AVENUE","KISSENA BOULEVARD","BOWNE STREET","KISSENA BOULEVARD","BOWNE STREET","ADDRESS","FLUSHING","ASH AVENUE",,"In Progress",,,,"07 QUEENS","4051820074","QUEENS","1033114","214432","ONLINE","Unspecified","QUEENS",,,,,,,,"40.75510779637202","-73.82362841987063","
,  
(40.75510779637202, -73.82362841987063)"
"63764685","2025-01-14T23:40:43.000","2025-01-15T00:03:42.000","NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11361","34-32 204 STREET","204 STREET","34 AVENUE","35 AVENUE","34 AVENUE","35 AVENUE","ADDRESS","BAYSIDE","204 STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2025-01-15T00:03:46.000","11 QUEENS","4060850020","QUEENS","1044072","218885","ONLINE","Unspecified","QUEENS","Car",,,,,,,"40.76726275268387","-73.78403671738711","
,  
(40.76726275268387, -73.78403671738711)"
"63762128","2025-01-14T23:40:33.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11420","126-05 116 AVENUE","116 AVENUE","126 STREET","127 STREET","126 STREET","127 STREET","ADDRESS","SOUTH OZONE PARK","116 AVENUE",,"In Progress",,,,"10 QUEENS","4116700038","QUEENS","1036272","186003","PHONE","Unspecified","QUEENS",,,,,,,,"40.67705916723888","-73.812449547461","
,  
(40.67705916723888, -73.812449547461)"
"63764216","2025-01-14T23:39:49.000",,"NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11226","485 EAST   23 STREET","EAST   23 STREET","STEPHENS COURT","FOSTER AVENUE","STEPHENS COURT","FOSTER AVENUE","ADDRESS","BROOKLYN","EAST   23 STREET",,"In Progress",,,,"14 BROOKLYN","3052240164","BROOKLYN","996523","171770","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.6381370636504","-73.95577904635176","
,  
(40.6381370636504, -73.95577904635176)"
"63768189","2025-01-14T23:39:43.000",,"DOT","Department of Transportation","Street Condition","Defective Hardware","Street","10011","208 WEST   15 STREET","WEST   15 STREET","7 AVENUE","8 AVENUE","7 AVENUE","8 AVENUE","ADDRESS","NEW YORK","WEST   15 STREET",,"In Progress",,,,"04 MANHATTAN","1007640044","MANHATTAN","984312","208691","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73948521426563","-73.99977626746512","
,  
(40.73948521426563, -73.99977626746512)"
"63763251","2025-01-14T23:39:40.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","10033","2316 AMSTERDAM AVENUE","AMSTERDAM AVENUE",,,,,"ADDRESS","NEW YORK",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","12 MANHATTAN","1021320064","MANHATTAN","1002607","246904","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.84435050298375","-73.93365269588018","
,  
(40.84435050298375, -73.93365269588018)"
"63770038","2025-01-14T23:39:32.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","11226","386 PARKSIDE AVENUE","PARKSIDE AVENUE",,,,,"ADDRESS","BROOKLYN",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","09 BROOKLYN","3050550045","BROOKLYN","995897","178188","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.65575392951049","-73.95802351071974","
,  
(40.65575392951049, -73.95802351071974)"
"63764552","2025-01-14T23:39:30.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","11207","1021 WARWICK STREET","WARWICK STREET",,,,,"ADDRESS","BROOKLYN",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","05 BROOKLYN","3044020038","BROOKLYN","1017945","179127","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.658274828050054","-73.87855656787157","
,  
(40.658274828050054, -73.87855656787157)"
"63768440","2025-01-14T23:39:27.000","2025-01-15T00:03:13.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10039","210P WEST  153 STREET","WEST  153 STREET","ADAM CLAYTON POWELL JR BOULEVARD","DEAD END","ADAM CLAYTON POWELL JR BOULEVARD","DEAD END","ADDRESS","NEW YORK","WEST  153 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2025-01-15T00:03:20.000","10 MANHATTAN","1020370011","MANHATTAN","1002046","240511","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.826804719288","-73.93569726672507","
,  
(40.826804719288, -73.93569726672507)"
"63768338","2025-01-14T23:39:01.000","2025-01-15T00:18:05.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","10012","131 WEST    3 STREET","WEST    3 STREET","MAC DOUGAL STREET","AVENUE OF THE AMERICAS","MAC DOUGAL STREET","AVENUE OF THE AMERICAS","ADDRESS","NEW YORK","WEST    3 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2025-01-15T00:18:10.000","02 MANHATTAN","1005430066","MANHATTAN","984030","205516","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73077061956904","-74.00079378581671","
,  
(40.73077061956904, -74.00079378581671)"
"63764058","2025-01-14T23:38:47.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","11222","23 WEST STREET","WEST STREET","WHARF PLAZA","OAK STREET","WHARF PLAZA","OAK STREET","ADDRESS","BROOKLYN","WEST STREET",,"In Progress",,,"2025-01-15T02:28:47.000","01 BROOKLYN","3025700050","BROOKLYN","995668","204144","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.726997448148836","-73.95880484718914","
,  
(40.726997448148836, -73.95880484718914)"
"63763068","2025-01-14T23:37:35.000","2025-01-15T00:43:30.000","NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","10304","62 NEWBERRY AVENUE","NEWBERRY AVENUE","BANK PLACE","WILSON STREET","BANK PLACE","WILSON STREET","ADDRESS","STATEN ISLAND","NEWBERRY AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2025-01-15T00:43:35.000","02 STATEN ISLAND","5032910015","STATEN ISLAND","958212","156013","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.59485761974913","-74.09375695121585","
,  
(40.59485761974913, -74.09375695121585)"
"63762706","2025-01-14T23:37:32.000",,"NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","11206","67 MANHATTAN AVENUE","MANHATTAN AVENUE","SEIGEL STREET","MC KIBBIN STREET","SEIGEL STREET","MC KIBBIN STREET","ADDRESS","BROOKLYN","MANHATTAN AVENUE",,"In Progress",,,,"01 BROOKLYN","3030780001","BROOKLYN","999631","196022","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.70469850361665","-73.94452524823974","
,  
(40.70469850361665, -73.94452524823974)"
"63762836","2025-01-14T23:37:28.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11373","40-40 79 STREET","79 STREET","ROOSEVELT AVENUE","41 AVENUE","ROOSEVELT AVENUE","41 AVENUE","ADDRESS","ELMHURST","79 STREET",,"In Progress",,,,"04 QUEENS","4014890018","QUEENS","1015673","211313","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74662612074122","-73.88659511334457","
,  
(40.74662612074122, -73.88659511334457)"
"63763422","2025-01-14T23:37:13.000",,"NYPD","New York City Police Department","Animal-Abuse","Other (complaint details)","Residential Building/House","10461","2860 BUHRE AVENUE","BUHRE AVENUE","MAYFLOWER AVENUE","PILGRIM AVENUE","MAYFLOWER AVENUE","PILGRIM AVENUE","ADDRESS","BRONX","BUHRE AVENUE",,"In Progress",,,,"10 BRONX","2041620032","BRONX","1030233","248017","ONLINE","Unspecified","BRONX",,,,,,,,"40.847304709563886","-73.83379718271301","
,  
(40.847304709563886, -73.83379718271301)"
"63763699","2025-01-14T23:36:37.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","10462","1919 MC GRAW AVENUE","MC GRAW AVENUE",,,,,"ADDRESS","BRONX",,,"Open",,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a","2025-01-14T00:00:00.000","09 BRONX","2039377501","BRONX","1022628","243367","ONLINE","Unspecified","BRONX",,,,,,,,"40.8345781608196","-73.86131156210084","
,  
(40.8345781608196, -73.86131156210084)"
"63768200","2025-01-14T23:36:35.000",,"DOT","Department of Transportation","Street Sign - Dangling","Stop","Street","10473","PUGSLEY AVENUE","PUGSLEY AVENUE","PUGSLEY AVENUE","STORY AVENUE","PUGSLEY AVENUE","STORY AVENUE","INTERSECTION",,,,"In Progress",,,,"09 BRONX",,"BRONX","1024201","239746","PHONE","Unspecified","BRONX",,,,,,,,"40.82463259040648","-73.85564870923928","
,  
(40.82463259040648, -73.85564870923928)"
"63761088","2025-01-14T23:36:33.000",,"HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","11226","330 EAST   19 STREET","EAST   19 STREET",,,,,"ADDRESS","BROOKLYN",,,"Open",,"The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.","2025-01-14T00:00:00.000","14 BROOKLYN","3051610014","BROOKLYN","995146","173226","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.64213527251177","-73.96073817503118","
,  
(40.64213527251177, -73.96073817503118)"
"63766851","2025-01-14T23:36:16.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10455","541 UNION AVENUE","UNION AVENUE","EAST  147 STREET","EAST  149 STREET","EAST  147 STREET","EAST  149 STREET","ADDRESS","BRONX","UNION AVENUE",,"In Progress",,,,"01 BRONX","2025820042","BRONX","1010420","235260","MOBILE","Unspecified","BRONX",,,,,,,,"40.81237137041546","-73.90545977958996","
,  
(40.81237137041546, -73.90545977958996)"
"63765557","2025-01-14T23:35:56.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking","Street/Sidewalk","11377","72-15 41 AVENUE","41 AVENUE","72 STREET","73 STREET","72 STREET","73 STREET","ADDRESS","WOODSIDE","41 AVENUE",,"In Progress",,,,"04 QUEENS","4013040071","QUEENS","1013917","210726","ONLINE","Unspecified","QUEENS",,,,,,,,"40.74502101951681","-73.89293505987077","
,  
(40.74502101951681, -73.89293505987077)"
